Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2011/12/16,AMZN,AMZN,S,CBOE,15803
2011/12/19,AMZN,AMZN,S,CBOE,9870
2011/12/20,AMZN,AMZN,S,CBOE,9638
2011/12/21,AMZN,AMZN,S,CBOE,23132
2011/12/22,AMZN,AMZN,S,CBOE,17480
2011/12/23,AMZN,AMZN,S,CBOE,14662
2011/12/27,AMZN,AMZN,S,CBOE,12304
2011/12/28,AMZN,AMZN,S,CBOE,15225
2011/12/29,AMZN,AMZN,S,CBOE,30616
2011/12/30,AMZN,AMZN,S,CBOE,13974
2012/01/03,AMZN,AMZN,S,CBOE,15853
2012/01/04,AMZN,AMZN,S,CBOE,16131
2012/01/05,AMZN,AMZN,S,CBOE,11767
2012/01/06,AMZN,AMZN,S,CBOE,38259
2012/01/09,AMZN,AMZN,S,CBOE,22370
2012/01/10,AMZN,AMZN,S,CBOE,13665
2012/01/11,AMZN,AMZN,S,CBOE,12693
2012/01/12,AMZN,AMZN,S,CBOE,20373
2012/01/13,AMZN,AMZN,S,CBOE,26666
2012/01/17,AMZN,AMZN,S,CBOE,24766
2012/01/18,AMZN,AMZN,S,CBOE,36936
2012/01/19,AMZN,AMZN,S,CBOE,42185
2012/01/20,AMZN,AMZN,S,CBOE,35586
2012/01/23,AMZN,AMZN,S,CBOE,23018
2012/01/24,AMZN,AMZN,S,CBOE,18678
2012/01/25,AMZN,AMZN,S,CBOE,13432
2012/01/26,AMZN,AMZN,S,CBOE,34632
2012/01/27,AMZN,AMZN,S,CBOE,36172
2012/01/30,AMZN,AMZN,S,CBOE,47743
2012/01/31,AMZN,AMZN,S,CBOE,101243
2012/02/01,AMZN,AMZN,S,CBOE,119370
2012/02/02,AMZN,AMZN,S,CBOE,52715
2012/02/03,AMZN,AMZN,S,CBOE,56122
2012/02/06,AMZN,AMZN,S,CBOE,27503
2012/02/07,AMZN,AMZN,S,CBOE,22317
2012/02/08,AMZN,AMZN,S,CBOE,35115
2012/02/09,AMZN,AMZN,S,CBOE,27683
2012/02/10,AMZN,AMZN,S,CBOE,42827
2012/02/13,AMZN,AMZN,S,CBOE,38402
2012/02/14,AMZN,AMZN,S,CBOE,42584
2012/02/15,AMZN,AMZN,S,CBOE,47000
2012/02/16,AMZN,AMZN,S,CBOE,52015
2012/02/17,AMZN,AMZN,S,CBOE,34137
2012/02/21,AMZN,AMZN,S,CBOE,24576
2012/02/22,AMZN,AMZN,S,CBOE,18278
2012/02/23,AMZN,AMZN,S,CBOE,30184
2012/02/24,AMZN,AMZN,S,CBOE,22345
2012/02/27,AMZN,AMZN,S,CBOE,14264
2012/02/28,AMZN,AMZN,S,CBOE,29447
2012/02/29,AMZN,AMZN,S,CBOE,20596
2012/03/01,AMZN,AMZN,S,CBOE,22980
2012/03/02,AMZN,AMZN,S,CBOE,18644
2012/03/05,AMZN,AMZN,S,CBOE,19794
2012/03/06,AMZN,AMZN,S,CBOE,30818
2012/03/07,AMZN,AMZN,S,CBOE,26708
2012/03/08,AMZN,AMZN,S,CBOE,27406
2012/03/09,AMZN,AMZN,S,CBOE,32088
2012/03/12,AMZN,AMZN,S,CBOE,19577
2012/03/13,AMZN,AMZN,S,CBOE,27585
2012/03/14,AMZN,AMZN,S,CBOE,23344
2012/03/15,AMZN,AMZN,S,CBOE,27869
2012/03/16,AMZN,AMZN,S,CBOE,29009
2012/03/19,AMZN,AMZN,S,CBOE,20059
2012/03/20,AMZN,AMZN,S,CBOE,70739
2012/03/21,AMZN,AMZN,S,CBOE,31649
2012/03/22,AMZN,AMZN,S,CBOE,30475
2012/03/23,AMZN,AMZN,S,CBOE,46224
2012/03/26,AMZN,AMZN,S,CBOE,50461
2012/03/27,AMZN,AMZN,S,CBOE,69866
2012/03/28,AMZN,AMZN,S,CBOE,44017
2012/03/29,AMZN,AMZN,S,CBOE,42289
2012/03/30,AMZN,AMZN,S,CBOE,34071
2012/04/02,AMZN,AMZN,S,CBOE,30668
2012/04/03,AMZN,AMZN,S,CBOE,29072
2012/04/04,AMZN,AMZN,S,CBOE,35565
2012/04/05,AMZN,AMZN,S,CBOE,22260
2012/04/09,AMZN,AMZN,S,CBOE,17513
2012/04/10,AMZN,AMZN,S,CBOE,32818
2012/04/11,AMZN,AMZN,S,CBOE,23530
2012/04/12,AMZN,AMZN,S,CBOE,22889
2012/04/13,AMZN,AMZN,S,CBOE,25823
2012/04/16,AMZN,AMZN,S,CBOE,26423
2012/04/17,AMZN,AMZN,S,CBOE,20881
2012/04/18,AMZN,AMZN,S,CBOE,24981
2012/04/19,AMZN,AMZN,S,CBOE,33389
2012/04/20,AMZN,AMZN,S,CBOE,25053
