,FIPStxt,State,Area_Name,POP_ESTIMATE_2019,land_area,population_density,Less than HS Diploma,HS Diploma,Some College,Bachelors,# in poverty,poverty_rate,Unemployment Rate,party
54,30021,MT,Dawson County,8613,2373.14,3.629368685,5.9,37.1,36,21,11.4,0.001323580634,2.4,gop
55,30023,MT,Deer Lodge County,9140,736.98,12.40196478,10.2,37.7,34.7,17.4,15.9,0.001739606127,3.2,dem
56,30025,MT,Fallon County,2846,1620.33,1.756432332,4.8,35.7,42.1,17.3,9.2,0.003232607168,1.8,gop
57,30027,MT,Fergus County,11050,4339.17,2.546569966,6.8,29.8,34.4,28.9,12.2,0.001104072398,3.1,gop
58,30029,MT,Flathead County,103806,5098.34,20.36074487,6.1,29.9,34.1,29.9,11.2,0.0001078935707,4.7,gop
59,30031,MT,Gallatin County,114434,2605.84,43.91443834,3.3,18.8,28.9,49,9,0.00007864795428,2.3,dem
60,30033,MT,Garfield County,1258,4668.06,0.2694909663,4.6,41.6,37,16.8,16.3,0.01295707472,2.4,gop
61,30035,MT,Glacier County,13753,2994.72,4.592415985,11.1,41.6,28.4,19,27,0.001963208027,7.5,dem
62,30037,MT,Golden Valley County,821,1175.3,0.6985450523,5.2,40,28.8,25.9,18.9,0.02302070646,4.1,gop
63,30039,MT,Granite County,3379,1727.44,1.956073728,8.6,33.1,31.6,26.6,13.4,0.003965670317,5.7,gop
64,30041,MT,Hill County,16484,2896.36,5.691281471,10.4,29.7,35.4,24.5,13.5,0.0008189759767,3.7,gop
65,30043,MT,Jefferson County,12221,1656.64,7.376979911,5.2,28.5,32.3,34,7.7,0.0006300630063,3.3,gop
66,30045,MT,Judith Basin County,2007,1869.85,1.07334813,4.7,33.4,33.2,28.6,13.3,0.006626806178,3.1,gop
67,30047,MT,Lake County,30458,1493.77,20.39001988,8.8,29.7,33.5,28,18.2,0.0005975441592,4.2,gop
68,30049,MT,Lewis and Clark County,69432,3460.96,20.06148583,5,24.5,32,38.6,10.5,0.0001512270999,3,gop
69,30051,MT,Liberty County,2337,1429.76,1.634540063,25,23.8,34.7,16.6,19,0.008130081301,2.5,gop
